季,季,季,1,AAA
孤,孤,孤,1,AAA
学,學,学,3,ABA
孫,孫,孙,2,AAB
宅,宅,宅,1,AAA
宇,宇,宇,1,AAA
守,守,守,1,AAA
安,安,安,1,AAA
完,完,完,1,AAA
宗,宗,宗,1,AAA
官,官,官,1,AAA
宙,宙,宙,1,AAA
定,定,定,1,AAA
宜,宜,宜,1,AAA
宝,寶,宝,3,ABA
実,實,实,5,ABC
客,客,客,1,AAA
宣,宣,宣,1,AAA
室,室,室,1,AAA
宮,宮,宮,1,AAA
宰,宰,宰,1,AAA
害,害,害,1,AAA
宴,宴,宴,1,AAA
宵,宵,宵,1,AAA
家,家,家,1,AAA
容,容,容,1,AAA
宿,宿,宿,1,AAA
寂,寂,寂,1,AAA
寄,寄,寄,1,AAA
密,密,密,1,AAA
富,富,富,1,AAA
寒,寒,寒,1,AAA
寛,寬,宽,5,ABC
寝,寢,寝,3,ABA
察,察,察,1,AAA
寡,寡,寡,1,AAA
寧,寧,宁,2,AAB
審,審,审,2,AAB
寮,寮,寮,1,AAA
寸,寸,寸,1,AAA
寺,寺,寺,1,AAA
対,對,对,5,ABC
寿,壽,寿,3,ABA
封,封,封,1,AAA
専,專,专,5,ABC
射,射,射,1,AAA
将,将,将,1,AAA
尉,尉,尉,1,AAA
尊,尊,尊,1,AAA
尋,尋,寻,2,AAB
導,導,导,2,AAB
小,小,小,1,AAA
少,少,少,1,AAA
尚,尚,尚,1,AAA
就,就,就,1,AAA
尺,尺,尺,1,AAA
尼,尼,尼,1,AAA
尽,盡,尽,3,ABA
尾,尾,尾,1,AAA
尿,尿,尿,1,AAA
局,局,局,1,AAA
居,居,居,1,AAA
屈,屈,屈,1,AAA
届,屆,届,3,ABA
屋,屋,屋,1,AAA
展,展,展,1,AAA
属,屬,属,3,ABA
層,層,层,2,AAB
履,履,履,1,AAA
屯,屯,屯,1,AAA
山,山,山,1,AAA
岐,岐,岐,1,AAA
岩,岩,岩,1,AAA
岬,岬,岬,1,AAA
岳,岳,岳,1,AAA
岸,岸,岸,1,AAA
峠,,,0,ANN
峡,峽,峡,3,ABA
峰,峰,峰,1,AAA
島,島,岛,2,AAB
崇,崇,崇,1,AAA
崎,崎,崎,1,AAA
崩,崩,崩,1,AAA
川,川,川,1,AAA
州,州,州,1,AAA
巡,巡,巡,1,AAA
巣,巢,巢,4,ABB
工,工,工,1,AAA
左,左,左,1,AAA
巧,巧,巧,1,AAA
巨,巨,巨,1,AAA
差,差,差,1,AAA
己,己,己,1,AAA
巻,卷,卷,4,ABB
市,市,市,1,AAA
布,布,布,1,AAA
帆,帆,帆,1,AAA
希,希,希,1,AAA
帝,帝,帝,1,AAA
帥,帥,帅,2,AAB
師,師,师,2,AAB
席,席,席,1,AAA
帯,帶,带,5,ABC
帰,歸,归,5,ABC
帳,帳,帐,2,AAB
常,常,常,1,AAA
帽,帽,帽,1,AAA
幅,幅,幅,1,AAA
幕,幕,幕,1,AAA
幣,幣,币,2,AAB
干,干,干,1,AAA
平,平,平,1,AAA
年,年,年,1,AAA
幸,幸,幸,1,AAA
幹,幹,干,2,AAB
幻,幻,幻,1,AAA
幼,幼,幼,1,AAA
幽,幽,幽,1,AAA
幾,幾,几,2,AAB
庁,廳,厅,5,ABC
広,廣,广,5,ABC
床,床,床,1,AAA
序,序,序,1,AAA
底,底,底,1,AAA
店,店,店,1,AAA
府,府,府,1,AAA
度,度,度,1,AAA
座,座,座,1,AAA
庫,庫,库,2,AAB
庭,庭,庭,1,AAA
庶,庶,庶,1,AAA
康,康,康,1,AAA
庸,庸,庸,1,AAA
廃,廢,废,5,ABC
廉,廉,廉,1,AAA
廊,廊,廊,1,AAA
延,延,延,1,AAA
廷,廷,廷,1,AAA
建,建,建,1,AAA
弁,弁,弁,1,AAA
弊,弊,弊,1,AAA
式,式,式,1,AAA
弐,貳,贰,5,ABC
弓,弓,弓,1,AAA
弔,弔,吊,2,AAB
引,引,引,1,AAA
弟,弟,弟,1,AAA
弦,弦,弦,1,AAA
弧,弧,弧,1,AAA
