久,久,久,1,AAA,"{""Reading"":{""On'yomi"":[""キュウ"",""ク""],""Kun'yomi"":[""ひさ·しい""],""Nanori"":[""きゅ"",""わ"",""なが"",""ひさ"",""ひさし""]},""Meaning"":""long time, old story"",""Compounds"":[{""compound"":""久しぶり"",""reading"":"" ひさしぶり"",""meaning"":""a long time (since the last time), first in a long time""},{""compound"":""永久"",""reading"":"" えいきゅう"",""meaning"":""eternity, permanence, perpetuity""},{""compound"":""久しい"",""reading"":"" ひさしい"",""meaning"":""long (time that has passed), old (story)""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 5"",""Frequency: 688""]}"
乏,乏,乏,1,AAA,"{""Reading"":{""On'yomi"":[""ボウ""],""Kun'yomi"":[""とぼ·しい"",""とも·しい""]},""Meaning"":""destitution, scarce, limited"",""Compounds"":[{""compound"":""貧乏"",""reading"":"" びんぼう"",""meaning"":""poverty-stricken, destitute, poor, penurious""},{""compound"":""欠乏"",""reading"":"" けつぼう"",""meaning"":""want, shortage, famine""},{""compound"":""乏しい"",""reading"":"" とぼしい"",""meaning"":""meagre, meager, scarce, limited, destitute, hard up, lacking, scanty, poor""},{""compound"":""窮乏"",""reading"":"" きゅうぼう"",""meaning"":""poverty, destitution, privation, indigence, penury""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 8"",""Frequency: 1646""]}"
乗,乘,乘,4,ABB,"{""Reading"":{""On'yomi"":[""ジョウ"",""ショウ""],""Kun'yomi"":[""の·る"",""〜の·り"",""の·せる""],""Nanori"":[""のり""]},""Meaning"":""ride, power, multiplication, record, counter for vehicles, board, mount, join"",""Compounds"":[{""compound"":""乗る"",""reading"":"" のる"",""meaning"":""to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark""},{""compound"":""乗り物"",""reading"":"" のりもの"",""meaning"":""vehicle, conveyance, transport""},{""compound"":""乗り換える"",""reading"":"" のりかえる"",""meaning"":""to transfer (trains), to change (bus, train)""},{""compound"":""乗客"",""reading"":"" じょうきゃく"",""meaning"":""passenger""},{""compound"":""乗せる"",""reading"":"" のせる"",""meaning"":""to place on (something)""}],""Miscellaneous"":[""Number of strokes: 9"",""Taught in grade 3"",""Frequency: 377""]}"
乙,乙,乙,1,AAA,"{""Reading"":{""On'yomi"":[""オツ"",""イツ""],""Kun'yomi"":[""おと〜"",""きのと""]},""Meaning"":""the latter, duplicate, strange, witty, fishhook radical (no. 5)"",""Compounds"":[{""compound"":""乙"",""reading"":"" おつ"",""meaning"":""second (party to an agreement), the B party (e.g. in a contract), the latter, defendant""}],""Miscellaneous"":[""Number of strokes: 1"",""Taught in grade 8"",""Frequency: 1841""]}"
九,九,九,1,AAA,"{""Reading"":{""On'yomi"":[""キュウ"",""ク""],""Kun'yomi"":[""ここの"",""ここの·つ""],""Nanori"":[""いちじく"",""いちのく"",""この"",""ひさし""]},""Meaning"":""nine"",""Compounds"":[{""compound"":""九"",""reading"":"" きゅう"",""meaning"":""nine""},{""compound"":""九つ"",""reading"":"" ここのつ"",""meaning"":""nine""}],""Miscellaneous"":[""Number of strokes: 2"",""Taught in grade 1"",""Frequency: 55""]}"
乱,亂,乱,3,ABA,"{""Reading"":{""On'yomi"":[""ラン"",""ロン""],""Kun'yomi"":[""みだ·れる"",""みだ·る"",""みだ·す"",""みだ"",""おさ·める"",""わた·る""],""Nanori"":[""ら""]},""Meaning"":""riot, war, disorder, disturb"",""Compounds"":[{""compound"":""混乱"",""reading"":"" こんらん"",""meaning"":""disorder, chaos, confusion, mayhem""},{""compound"":""乱暴"",""reading"":"" らんぼう"",""meaning"":""violence, assault, running riot""},{""compound"":""反乱"",""reading"":"" はんらん"",""meaning"":""insurrection, mutiny, rebellion, revolt, uprising""},{""compound"":""乱用"",""reading"":"" らんよう"",""meaning"":""abuse, misuse, misappropriation, using to excess""},{""compound"":""乱れる"",""reading"":"" みだれる"",""meaning"":""to be disordered, to be disarranged, to be disarrayed, to be disheveled, to be dishevelled""}],""Miscellaneous"":[""Number of strokes: 7"",""Taught in grade 6"",""Frequency: 755""]}"
乳,乳,乳,1,AAA,"{""Reading"":{""On'yomi"":[""ニュウ""],""Kun'yomi"":[""ちち"",""ち""]},""Meaning"":""milk, breasts"",""Compounds"":[{""compound"":""牛乳"",""reading"":"" ぎゅうにゅう"",""meaning"":""(cow's) milk""},{""compound"":""乳"",""reading"":"" ちち"",""meaning"":""milk""}],""Miscellaneous"":[""Number of strokes: 8"",""Taught in grade 6"",""Frequency: 1289""]}"
乾,乾,干,2,AAB,"{""Reading"":{""On'yomi"":[""カン"",""ケン""],""Kun'yomi"":[""かわ·く"",""かわ·かす"",""ほ·す"",""ひ·る"",""いぬい""]},""Meaning"":""drought, dry, dessicate, drink up, heaven, emperor"",""Compounds"":[{""compound"":""乾燥"",""reading"":"" かんそう"",""meaning"":""dryness, aridity, drying (e.g. clothes), dehydration, desiccation""},{""compound"":""乾電池"",""reading"":"" かんでんち"",""meaning"":""dry cell, battery""},{""compound"":""乾杯"",""reading"":"" かんぱい"",""meaning"":""cheers, bottoms-up, prosit""},{""compound"":""乾かす"",""reading"":"" かわかす"",""meaning"":""to dry (clothes, etc.), to desiccate""}],""Miscellaneous"":[""Number of strokes: 11"",""Taught in grade 8"",""Frequency: 1453""]}"
了,了,了,1,AAA,"{""Reading"":{""On'yomi"":[""リョウ""],""Nanori"":[""さとる""]},""Meaning"":""complete, finish"",""Compounds"":[{""compound"":""完了"",""reading"":"" かんりょう"",""meaning"":""completion, conclusion""},{""compound"":""終了"",""reading"":"" しゅうりょう"",""meaning"":""end, close, termination""},{""compound"":""了承"",""reading"":"" りょうしょう"",""meaning"":""acknowledgement, acknowledgment, understanding (e.g. \""please be understanding of the mess during our renovation\""), noting, acceptance""},{""compound"":""了解"",""reading"":"" りょうかい"",""meaning"":""comprehension, consent, understanding, agreement""},{""compound"":""修了"",""reading"":"" しゅうりょう"",""meaning"":""completion (of a course)""}],""Miscellaneous"":[""Number of strokes: 2"",""Taught in grade 8"",""Frequency: 792""]}"
予,予,予,1,AAA,"{""Reading"":{""On'yomi"":[""ヨ"",""シャ""],""Kun'yomi"":[""あらかじ·め""]},""Meaning"":""beforehand, previous, myself, I"",""Compounds"":[{""compound"":""予定"",""reading"":"" よてい"",""meaning"":""plans, arrangement, schedule, program, programme, expectation, estimate""},{""compound"":""予約"",""reading"":"" よやく"",""meaning"":""reservation, appointment, booking, advance order""},{""compound"":""予習"",""reading"":"" よしゅう"",""meaning"":""preparation for a lesson""},{""compound"":""予算"",""reading"":"" よさん"",""meaning"":""estimate, budget""},{""compound"":""予測"",""reading"":"" よそく"",""meaning"":""prediction, estimation""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 3"",""Frequency: 180""]}"
